LECROYWaveRunnerž,40477,Waveform
Segments,1,SegmentSize,1000
Segment,TrigTime,TimeSinceSegment1
#1,07-Jun-2021 10:48:38,0                 
Time,Ampl
-0.00402,0.0026901832
-0.00401,0.0024842364
-0.004,0.0024713647
-0.00399,0.0025357231
-0.00398,0.0023683913
-0.00397,0.0023297763
-0.00396,0.002342648
-0.00395,0.0021495728
-0.00394,0.0020337277
-0.00393,0.0020465994
-0.00392,0.0019178827
-0.00391,0.0020337277
-0.0039,0.0020079844
-0.00389,0.0018149092
-0.00388,0.0017248075
-0.00387,0.0016347058
-0.00386,0.0017634225
-0.00385,0.0018020376
-0.00384,0.0016347058
-0.00383,0.0017891659
-0.00382,0.0014802457
-0.00381,0.0013129139
-0.0038,0.0014287589
-0.00379,0.0013772722
-0.00378,0.0013901439
-0.00377,0.0013000422
-0.00376,0.0011713254
-0.00375,0.0011584537
-0.00374,0.00097825027
-0.00373,0.0011455821
-0.00372,0.0012356838
-0.00371,0.001106967
-0.0037,0.0010426087
-0.00369,0.0010554803
-0.00368,0.0010554803
-0.00367,0.00086240518
-0.00366,0.0007980468
-0.00365,0.00078517512
-0.00364,0.00082379015
-0.00363,0.00073368842
-0.00362,0.00070794506
-0.00361,0.00082379015
-0.0036,0.00064358668
-0.00359,0.00073368842
-0.00358,0.00050199824
-0.00357,0.00061784333
-0.00356,0.00069507339
-0.00355,0.00052774159
-0.00354,0.00061784333
-0.00353,0.00056635662
-0.00352,0.00045051153
-0.00351,0.00042476818
-0.0035,0.00045051153
-0.00349,0.00056635662
-0.00348,0.00052774159
-0.00347,0.00032179477
-0.00346,0.00038615315
-0.00345,0.00034753812
-0.00344,0.00027030806
-0.00343,0.00028317974
-0.00342,0.0004118965
-0.00341,0.000193078
-0.0034,0.00015446297
-0.00339,0.00018020633
-0.00338,0.00023169303
-0.00337,0.00018020633
-0.00336,0.0001415913
-0.00335,0.00016733465
-0.00334,0.00010297627
-0.00333,0.00012871962
-0.00332,0.00021882136
-0.00331,5.1489562e-05
-0.0033,0.00010297627
-0.00329,0.0001415913
-0.00328,1.2874532e-05
-0.00327,5.1489562e-05
-0.00326,2.8558134e-09
-0.00325,7.7232915e-05
-0.00324,1.2874532e-05
-0.00323,-3.8612174e-05
-0.00322,2.8558134e-09
-0.00321,-9.009888e-05
-0.0032,2.8558134e-09
-0.00319,-7.7227203e-05
-0.00318,-9.009888e-05
-0.00317,-3.8612174e-05
-0.00316,-0.00014158559
-0.00315,-0.00010297056
-0.00314,-5.148385e-05
-0.00313,-0.00012871391
-0.00312,-1.2868821e-05
-0.00311,-0.00012871391
-0.0031,-0.00021881564
-0.00309,-0.00020594397
